,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
23662,2008.0,0.0,1272.0,102.0,1404.0,71.0,H,0.0,37.0,83.0,11.0,35.0,17.0,29.0,21.0,37.0,23.0,10.0,9.0,11.0,21.0,24.0,77.0,10.0,37.0,13.0,22.0,20.0,27.0,16.0,19.0,5.0,2.0,22.0
23665,2008.0,1.0,1246.0,67.0,1146.0,40.0,H,0.0,26.0,55.0,4.0,10.0,11.0,16.0,18.0,26.0,11.0,16.0,10.0,3.0,20.0,10.0,50.0,3.0,22.0,17.0,21.0,15.0,14.0,5.0,18.0,5.0,4.0,18.0
23666,2008.0,1.0,1272.0,80.0,1350.0,63.0,H,0.0,25.0,51.0,9.0,25.0,21.0,32.0,12.0,25.0,15.0,18.0,13.0,10.0,18.0,24.0,63.0,8.0,22.0,7.0,12.0,15.0,19.0,9.0,21.0,11.0,1.0,27.0
23669,2008.0,2.0,1163.0,69.0,1288.0,65.0,H,0.0,21.0,50.0,3.0,15.0,24.0,33.0,14.0,29.0,14.0,18.0,9.0,10.0,13.0,25.0,71.0,11.0,22.0,4.0,9.0,20.0,19.0,11.0,14.0,11.0,2.0,24.0
23670,2008.0,2.0,1205.0,84.0,1246.0,68.0,A,0.0,26.0,49.0,8.0,17.0,24.0,31.0,6.0,31.0,16.0,17.0,3.0,1.0,20.0,22.0,62.0,6.0,19.0,18.0,20.0,11.0,18.0,8.0,12.0,7.0,3.0,22.0
23671,2008.0,3.0,1163.0,82.0,1138.0,57.0,H,0.0,27.0,58.0,3.0,8.0,25.0,37.0,15.0,39.0,14.0,18.0,7.0,15.0,16.0,23.0,69.0,1.0,7.0,10.0,18.0,11.0,25.0,10.0,16.0,6.0,1.0,28.0
23672,2008.0,3.0,1328.0,71.0,1362.0,55.0,H,0.0,27.0,56.0,4.0,17.0,13.0,21.0,11.0,24.0,16.0,12.0,5.0,5.0,15.0,21.0,57.0,2.0,20.0,11.0,14.0,13.0,21.0,11.0,13.0,7.0,1.0,18.0
23675,2008.0,4.0,1116.0,67.0,1459.0,45.0,H,0.0,26.0,54.0,3.0,18.0,12.0,21.0,9.0,31.0,13.0,13.0,5.0,11.0,18.0,17.0,47.0,5.0,13.0,6.0,17.0,4.0,23.0,9.0,15.0,4.0,3.0,22.0
23676,2008.0,4.0,1125.0,86.0,1153.0,75.0,A,0.0,32.0,62.0,12.0,30.0,10.0,17.0,8.0,25.0,24.0,13.0,12.0,1.0,19.0,27.0,62.0,8.0,25.0,13.0,21.0,16.0,25.0,12.0,19.0,6.0,3.0,18.0
23677,2008.0,4.0,1129.0,73.0,1430.0,72.0,H,1.0,24.0,75.0,5.0,31.0,20.0,27.0,22.0,19.0,10.0,13.0,16.0,2.0,15.0,29.0,55.0,7.0,18.0,7.0,12.0,9.0,27.0,5.0,28.0,4.0,5.0,22.0
23680,2008.0,4.0,1139.0,61.0,1123.0,45.0,A,0.0,21.0,46.0,8.0,22.0,11.0,17.0,9.0,23.0,12.0,11.0,3.0,1.0,16.0,19.0,50.0,1.0,14.0,6.0,9.0,10.0,21.0,10.0,10.0,6.0,1.0,17.0
23686,2008.0,4.0,1168.0,92.0,1167.0,75.0,H,0.0,35.0,64.0,12.0,26.0,10.0,14.0,11.0,22.0,24.0,16.0,14.0,3.0,20.0,25.0,55.0,10.0,20.0,15.0,21.0,10.0,21.0,16.0,18.0,5.0,2.0,12.0
23688,2008.0,4.0,1181.0,121.0,1300.0,56.0,H,0.0,39.0,69.0,16.0,28.0,27.0,32.0,18.0,30.0,27.0,18.0,10.0,9.0,18.0,21.0,60.0,6.0,18.0,8.0,12.0,10.0,14.0,13.0,26.0,10.0,3.0,27.0
23694,2008.0,4.0,1206.0,60.0,1436.0,53.0,H,0.0,21.0,61.0,1.0,17.0,17.0,26.0,14.0,38.0,10.0,13.0,3.0,3.0,13.0,21.0,65.0,4.0,18.0,7.0,8.0,7.0,31.0,13.0,8.0,6.0,2.0,24.0
23695,2008.0,4.0,1208.0,107.0,1240.0,65.0,H,0.0,43.0,79.0,4.0,16.0,17.0,26.0,20.0,42.0,23.0,15.0,3.0,13.0,18.0,26.0,80.0,10.0,30.0,3.0,15.0,18.0,21.0,15.0,16.0,6.0,4.0,25.0
23699,2008.0,4.0,1241.0,100.0,1373.0,88.0,H,0.0,37.0,57.0,11.0,22.0,15.0,20.0,13.0,23.0,19.0,26.0,7.0,4.0,31.0,28.0,63.0,8.0,24.0,24.0,33.0,13.0,13.0,7.0,20.0,6.0,1.0,22.0
23700,2008.0,4.0,1242.0,107.0,1419.0,78.0,H,0.0,40.0,72.0,12.0,24.0,15.0,19.0,16.0,19.0,26.0,13.0,15.0,1.0,20.0,26.0,51.0,9.0,24.0,17.0,23.0,10.0,18.0,16.0,24.0,9.0,1.0,21.0
23701,2008.0,4.0,1243.0,94.0,1170.0,63.0,H,0.0,33.0,70.0,8.0,18.0,20.0,31.0,24.0,25.0,22.0,26.0,10.0,6.0,24.0,20.0,55.0,5.0,15.0,18.0,31.0,16.0,16.0,14.0,31.0,9.0,2.0,26.0
23710,2008.0,4.0,1328.0,80.0,1176.0,50.0,H,0.0,30.0,50.0,13.0,23.0,7.0,9.0,11.0,16.0,17.0,11.0,8.0,2.0,16.0,15.0,33.0,5.0,13.0,15.0,18.0,5.0,11.0,8.0,19.0,3.0,2.0,14.0
23712,2008.0,4.0,1338.0,103.0,1223.0,62.0,H,0.0,42.0,92.0,10.0,34.0,9.0,12.0,27.0,32.0,31.0,13.0,16.0,3.0,16.0,22.0,61.0,6.0,20.0,12.0,14.0,8.0,24.0,12.0,22.0,5.0,3.0,16.0
23715,2008.0,4.0,1360.0,73.0,1218.0,72.0,A,0.0,28.0,61.0,7.0,13.0,10.0,21.0,18.0,26.0,15.0,16.0,8.0,2.0,19.0,25.0,65.0,6.0,20.0,16.0,23.0,18.0,22.0,13.0,14.0,7.0,3.0,18.0
23722,2008.0,4.0,1390.0,111.0,1217.0,56.0,H,0.0,43.0,66.0,12.0,19.0,13.0,18.0,17.0,33.0,25.0,18.0,7.0,4.0,28.0,19.0,52.0,3.0,12.0,15.0,31.0,10.0,9.0,7.0,19.0,8.0,2.0,18.0
23723,2008.0,4.0,1397.0,80.0,1396.0,63.0,H,0.0,29.0,63.0,6.0,22.0,16.0,23.0,14.0,26.0,18.0,15.0,10.0,1.0,22.0,23.0,59.0,3.0,17.0,14.0,20.0,14.0,23.0,14.0,23.0,6.0,2.0,21.0
23724,2008.0,4.0,1401.0,73.0,1270.0,50.0,H,0.0,27.0,50.0,6.0,13.0,13.0,23.0,7.0,25.0,16.0,11.0,8.0,5.0,10.0,20.0,53.0,7.0,14.0,3.0,3.0,8.0,20.0,10.0,19.0,5.0,3.0,20.0
