,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
4617,2004.0,10.0,1448.0,85.0,1272.0,76.0,N,0.0,26.0,65.0,8.0,19.0,25.0,37.0,17.0,30.0,12.0,12.0,10.0,1.0,26.0,27.0,68.0,10.0,29.0,12.0,29.0,19.0,30.0,11.0,16.0,3.0,5.0,27.0
4618,2004.0,11.0,1338.0,71.0,1104.0,62.0,N,0.0,23.0,57.0,4.0,20.0,21.0,33.0,19.0,24.0,11.0,11.0,2.0,2.0,21.0,22.0,57.0,3.0,14.0,15.0,23.0,15.0,23.0,8.0,12.0,4.0,4.0,27.0
4619,2004.0,11.0,1386.0,73.0,1211.0,66.0,N,0.0,26.0,62.0,12.0,25.0,9.0,11.0,10.0,22.0,17.0,11.0,8.0,8.0,15.0,24.0,66.0,6.0,15.0,12.0,14.0,21.0,26.0,12.0,15.0,7.0,1.0,15.0
4620,2004.0,12.0,1227.0,77.0,1414.0,65.0,N,0.0,27.0,59.0,7.0,16.0,16.0,25.0,11.0,20.0,15.0,12.0,9.0,5.0,23.0,23.0,52.0,8.0,16.0,11.0,17.0,13.0,24.0,12.0,24.0,7.0,2.0,26.0
4623,2004.0,12.0,1462.0,62.0,1164.0,37.0,H,0.0,18.0,49.0,11.0,23.0,15.0,29.0,9.0,31.0,15.0,11.0,7.0,9.0,12.0,15.0,59.0,3.0,14.0,4.0,8.0,13.0,27.0,7.0,15.0,7.0,3.0,21.0
4625,2004.0,13.0,1324.0,79.0,1227.0,66.0,N,0.0,29.0,65.0,5.0,17.0,16.0,23.0,17.0,19.0,12.0,16.0,12.0,5.0,22.0,26.0,57.0,3.0,9.0,11.0,19.0,13.0,19.0,17.0,22.0,11.0,2.0,22.0
4628,2004.0,13.0,1462.0,72.0,1273.0,58.0,H,0.0,27.0,58.0,6.0,14.0,12.0,21.0,12.0,21.0,14.0,9.0,11.0,4.0,12.0,24.0,61.0,5.0,15.0,5.0,6.0,15.0,23.0,16.0,16.0,1.0,6.0,20.0
4630,2004.0,14.0,1163.0,70.0,1463.0,60.0,H,0.0,26.0,55.0,8.0,17.0,10.0,19.0,12.0,27.0,21.0,9.0,5.0,7.0,13.0,25.0,59.0,5.0,14.0,5.0,8.0,9.0,23.0,14.0,9.0,4.0,1.0,20.0
4633,2004.0,14.0,1227.0,75.0,1273.0,64.0,N,0.0,29.0,70.0,7.0,20.0,10.0,14.0,17.0,24.0,16.0,8.0,8.0,5.0,13.0,21.0,51.0,10.0,21.0,12.0,16.0,8.0,23.0,17.0,16.0,3.0,5.0,16.0
4636,2004.0,14.0,1305.0,69.0,1436.0,49.0,H,0.0,28.0,60.0,5.0,12.0,8.0,17.0,15.0,26.0,20.0,13.0,9.0,4.0,17.0,18.0,48.0,4.0,13.0,9.0,13.0,7.0,21.0,15.0,18.0,7.0,0.0,19.0
4637,2004.0,14.0,1350.0,62.0,1290.0,46.0,H,0.0,19.0,64.0,2.0,10.0,22.0,34.0,20.0,33.0,9.0,15.0,10.0,4.0,17.0,16.0,64.0,2.0,22.0,12.0,17.0,17.0,31.0,5.0,19.0,9.0,6.0,29.0
4639,2004.0,14.0,1376.0,83.0,1205.0,74.0,H,0.0,26.0,71.0,12.0,26.0,19.0,32.0,19.0,30.0,21.0,14.0,13.0,6.0,18.0,31.0,74.0,5.0,26.0,7.0,11.0,17.0,33.0,21.0,20.0,9.0,1.0,23.0
4640,2004.0,14.0,1400.0,89.0,1135.0,51.0,H,0.0,33.0,77.0,6.0,21.0,17.0,28.0,24.0,38.0,12.0,13.0,8.0,0.0,18.0,19.0,63.0,4.0,22.0,9.0,13.0,9.0,24.0,8.0,20.0,7.0,4.0,22.0
4642,2004.0,14.0,1428.0,46.0,1209.0,38.0,H,0.0,19.0,44.0,0.0,8.0,8.0,13.0,14.0,19.0,13.0,21.0,9.0,5.0,11.0,15.0,49.0,3.0,13.0,5.0,8.0,15.0,14.0,9.0,20.0,10.0,6.0,16.0
4643,2004.0,14.0,1462.0,76.0,1324.0,66.0,H,0.0,25.0,73.0,4.0,17.0,22.0,30.0,26.0,30.0,9.0,13.0,8.0,5.0,17.0,26.0,67.0,2.0,15.0,12.0,15.0,12.0,24.0,7.0,13.0,8.0,9.0,22.0
4645,2004.0,15.0,1210.0,79.0,1418.0,45.0,H,0.0,34.0,64.0,7.0,19.0,4.0,10.0,16.0,29.0,21.0,16.0,8.0,4.0,17.0,15.0,55.0,5.0,20.0,10.0,19.0,13.0,16.0,5.0,19.0,8.0,2.0,9.0
4650,2004.0,15.0,1350.0,63.0,1306.0,49.0,H,0.0,22.0,56.0,5.0,20.0,14.0,18.0,18.0,22.0,15.0,12.0,8.0,6.0,13.0,20.0,50.0,7.0,17.0,2.0,5.0,9.0,19.0,10.0,17.0,5.0,1.0,18.0
4651,2004.0,15.0,1376.0,76.0,1225.0,66.0,H,0.0,29.0,68.0,7.0,19.0,11.0,18.0,10.0,26.0,13.0,11.0,10.0,5.0,17.0,21.0,56.0,9.0,15.0,15.0,19.0,10.0,31.0,14.0,21.0,4.0,1.0,20.0
4652,2004.0,15.0,1403.0,89.0,1172.0,58.0,H,0.0,35.0,71.0,7.0,15.0,12.0,16.0,12.0,26.0,18.0,13.0,18.0,5.0,20.0,20.0,54.0,7.0,24.0,11.0,16.0,11.0,28.0,18.0,26.0,7.0,0.0,19.0
4654,2004.0,16.0,1163.0,93.0,1305.0,79.0,H,0.0,32.0,62.0,7.0,11.0,22.0,29.0,17.0,25.0,13.0,17.0,3.0,8.0,20.0,26.0,61.0,8.0,15.0,19.0,29.0,14.0,15.0,13.0,14.0,5.0,3.0,26.0
4655,2004.0,16.0,1428.0,66.0,1278.0,54.0,H,0.0,22.0,42.0,4.0,9.0,18.0,23.0,12.0,28.0,10.0,20.0,3.0,1.0,18.0,20.0,60.0,3.0,13.0,11.0,16.0,16.0,12.0,12.0,10.0,10.0,1.0,20.0
4656,2004.0,17.0,1210.0,75.0,1220.0,56.0,H,0.0,27.0,56.0,9.0,26.0,12.0,18.0,6.0,23.0,22.0,15.0,12.0,6.0,20.0,18.0,50.0,5.0,19.0,15.0,21.0,9.0,28.0,13.0,24.0,6.0,2.0,19.0
4658,2004.0,18.0,1104.0,69.0,1256.0,63.0,H,0.0,19.0,57.0,5.0,12.0,26.0,32.0,13.0,25.0,10.0,12.0,7.0,4.0,16.0,25.0,56.0,7.0,17.0,6.0,12.0,10.0,28.0,9.0,19.0,4.0,2.0,26.0
4665,2004.0,18.0,1140.0,88.0,1381.0,54.0,H,0.0,32.0,55.0,12.0,26.0,12.0,13.0,11.0,20.0,25.0,18.0,7.0,1.0,17.0,19.0,41.0,5.0,12.0,11.0,19.0,8.0,13.0,8.0,24.0,10.0,1.0,17.0
4671,2004.0,18.0,1173.0,90.0,1337.0,77.0,A,0.0,25.0,49.0,6.0,20.0,34.0,41.0,9.0,31.0,8.0,18.0,5.0,6.0,20.0,28.0,66.0,11.0,28.0,10.0,15.0,11.0,19.0,16.0,15.0,6.0,1.0,29.0
4673,2004.0,18.0,1177.0,73.0,1260.0,61.0,H,0.0,29.0,62.0,4.0,18.0,11.0,16.0,12.0,38.0,19.0,15.0,6.0,2.0,15.0,27.0,72.0,5.0,26.0,2.0,6.0,9.0,25.0,18.0,10.0,4.0,4.0,19.0
4674,2004.0,18.0,1190.0,65.0,1222.0,51.0,A,0.0,20.0,44.0,7.0,19.0,18.0,25.0,6.0,30.0,14.0,22.0,10.0,7.0,18.0,20.0,61.0,4.0,18.0,7.0,17.0,16.0,22.0,9.0,19.0,7.0,4.0,22.0
4677,2004.0,18.0,1203.0,80.0,1150.0,76.0,A,0.0,23.0,58.0,7.0,19.0,27.0,36.0,13.0,29.0,13.0,14.0,7.0,3.0,31.0,21.0,57.0,6.0,25.0,28.0,40.0,13.0,29.0,11.0,14.0,7.0,4.0,29.0
4681,2004.0,18.0,1211.0,84.0,1225.0,63.0,H,0.0,29.0,62.0,9.0,18.0,17.0,24.0,11.0,28.0,24.0,12.0,11.0,7.0,20.0,23.0,59.0,4.0,17.0,13.0,16.0,12.0,26.0,10.0,17.0,4.0,3.0,25.0
4683,2004.0,18.0,1227.0,70.0,1191.0,54.0,A,0.0,26.0,56.0,6.0,18.0,12.0,21.0,11.0,28.0,15.0,12.0,13.0,3.0,21.0,18.0,50.0,2.0,12.0,16.0,23.0,10.0,24.0,12.0,20.0,4.0,4.0,20.0
4686,2004.0,18.0,1242.0,90.0,1151.0,76.0,H,0.0,35.0,66.0,5.0,20.0,15.0,18.0,13.0,23.0,22.0,16.0,13.0,9.0,21.0,28.0,63.0,7.0,22.0,13.0,19.0,16.0,20.0,11.0,23.0,7.0,1.0,17.0
4688,2004.0,18.0,1246.0,65.0,1457.0,44.0,H,0.0,22.0,49.0,9.0,18.0,12.0,17.0,10.0,24.0,14.0,24.0,13.0,2.0,18.0,14.0,47.0,5.0,19.0,11.0,17.0,12.0,19.0,7.0,29.0,14.0,4.0,14.0
4689,2004.0,18.0,1254.0,67.0,1250.0,54.0,A,0.0,23.0,57.0,5.0,12.0,16.0,25.0,15.0,33.0,10.0,20.0,10.0,4.0,22.0,18.0,66.0,2.0,17.0,16.0,28.0,24.0,24.0,11.0,18.0,6.0,3.0,22.0
4693,2004.0,18.0,1275.0,71.0,1251.0,55.0,A,0.0,24.0,52.0,5.0,15.0,18.0,25.0,12.0,26.0,13.0,14.0,10.0,0.0,23.0,19.0,51.0,4.0,21.0,13.0,19.0,10.0,20.0,11.0,18.0,5.0,3.0,24.0
4695,2004.0,18.0,1277.0,64.0,1137.0,52.0,H,0.0,24.0,60.0,4.0,19.0,12.0,17.0,15.0,27.0,15.0,9.0,7.0,4.0,22.0,22.0,53.0,7.0,21.0,1.0,17.0,14.0,25.0,10.0,14.0,4.0,0.0,21.0
4696,2004.0,18.0,1284.0,69.0,1111.0,65.0,A,0.0,25.0,46.0,5.0,13.0,14.0,23.0,7.0,28.0,19.0,22.0,3.0,3.0,18.0,24.0,74.0,7.0,23.0,10.0,12.0,20.0,16.0,11.0,12.0,8.0,2.0,22.0
4698,2004.0,18.0,1301.0,71.0,1421.0,46.0,H,0.0,27.0,67.0,9.0,29.0,8.0,9.0,14.0,28.0,15.0,11.0,10.0,4.0,13.0,20.0,56.0,4.0,18.0,2.0,7.0,9.0,27.0,9.0,16.0,5.0,4.0,14.0
4700,2004.0,18.0,1320.0,83.0,1152.0,59.0,H,0.0,25.0,54.0,8.0,25.0,25.0,29.0,14.0,19.0,12.0,11.0,5.0,5.0,17.0,22.0,50.0,2.0,9.0,13.0,20.0,12.0,18.0,5.0,14.0,4.0,0.0,27.0
4701,2004.0,18.0,1328.0,69.0,1186.0,59.0,H,0.0,22.0,53.0,4.0,16.0,21.0,30.0,16.0,18.0,12.0,14.0,6.0,4.0,20.0,22.0,42.0,7.0,12.0,8.0,17.0,7.0,17.0,15.0,23.0,5.0,3.0,22.0
