,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
39337,2011.0,7.0,1228.0,79.0,1414.0,65.0,H,0.0,29.0,58.0,8.0,24.0,13.0,23.0,9.0,30.0,17.0,14.0,9.0,8.0,22.0,22.0,63.0,7.0,20.0,14.0,22.0,11.0,26.0,12.0,14.0,7.0,1.0,21.0
39339,2011.0,7.0,1338.0,83.0,1348.0,75.0,H,0.0,29.0,64.0,3.0,15.0,22.0,30.0,18.0,28.0,19.0,14.0,8.0,6.0,18.0,24.0,60.0,14.0,32.0,13.0,16.0,10.0,21.0,16.0,17.0,7.0,6.0,25.0
39340,2011.0,7.0,1400.0,83.0,1298.0,52.0,H,0.0,30.0,59.0,4.0,17.0,19.0,34.0,11.0,39.0,16.0,15.0,5.0,5.0,17.0,19.0,63.0,4.0,23.0,10.0,18.0,8.0,22.0,8.0,16.0,5.0,5.0,24.0
39341,2011.0,9.0,1228.0,84.0,1405.0,45.0,H,0.0,37.0,64.0,5.0,18.0,5.0,6.0,10.0,28.0,21.0,14.0,10.0,7.0,18.0,16.0,45.0,3.0,12.0,10.0,19.0,6.0,17.0,9.0,23.0,6.0,0.0,14.0
39343,2011.0,9.0,1338.0,97.0,1227.0,54.0,H,0.0,37.0,64.0,11.0,21.0,12.0,20.0,17.0,28.0,27.0,11.0,5.0,7.0,13.0,22.0,58.0,3.0,10.0,7.0,9.0,9.0,16.0,9.0,12.0,0.0,3.0,18.0
39344,2011.0,9.0,1400.0,89.0,1256.0,58.0,H,0.0,34.0,74.0,4.0,16.0,17.0,22.0,16.0,31.0,18.0,14.0,12.0,7.0,21.0,21.0,64.0,3.0,14.0,13.0,20.0,15.0,26.0,4.0,22.0,6.0,5.0,21.0
39348,2011.0,11.0,1114.0,57.0,1374.0,47.0,A,0.0,18.0,46.0,5.0,7.0,16.0,21.0,9.0,27.0,12.0,12.0,7.0,2.0,17.0,13.0,48.0,8.0,30.0,13.0,15.0,9.0,23.0,8.0,13.0,4.0,3.0,20.0
39353,2011.0,11.0,1140.0,83.0,1201.0,56.0,H,0.0,30.0,61.0,6.0,21.0,17.0,24.0,9.0,34.0,18.0,13.0,7.0,1.0,20.0,20.0,57.0,2.0,21.0,14.0,27.0,9.0,27.0,9.0,16.0,10.0,3.0,15.0
39356,2011.0,11.0,1155.0,87.0,1441.0,64.0,H,0.0,28.0,47.0,6.0,17.0,25.0,46.0,11.0,26.0,16.0,11.0,7.0,4.0,24.0,23.0,57.0,8.0,23.0,10.0,19.0,10.0,19.0,13.0,14.0,6.0,1.0,32.0
39359,2011.0,11.0,1163.0,79.0,1392.0,52.0,H,0.0,28.0,68.0,8.0,23.0,15.0,20.0,23.0,36.0,13.0,13.0,6.0,6.0,23.0,17.0,63.0,5.0,17.0,13.0,16.0,13.0,20.0,7.0,11.0,5.0,1.0,23.0
39361,2011.0,11.0,1166.0,71.0,1106.0,57.0,H,0.0,20.0,49.0,7.0,16.0,24.0,28.0,11.0,28.0,10.0,11.0,7.0,1.0,12.0,24.0,58.0,9.0,25.0,0.0,4.0,9.0,21.0,14.0,15.0,5.0,3.0,21.0
39364,2011.0,11.0,1196.0,77.0,1423.0,60.0,H,0.0,28.0,57.0,6.0,19.0,15.0,22.0,17.0,19.0,18.0,15.0,12.0,1.0,11.0,23.0,48.0,6.0,16.0,8.0,8.0,6.0,16.0,11.0,20.0,11.0,4.0,16.0
39365,2011.0,11.0,1199.0,75.0,1316.0,55.0,H,0.0,27.0,63.0,6.0,22.0,15.0,23.0,14.0,27.0,11.0,15.0,10.0,7.0,19.0,18.0,53.0,5.0,18.0,14.0,17.0,9.0,27.0,8.0,22.0,6.0,2.0,22.0
39367,2011.0,11.0,1207.0,62.0,1330.0,59.0,A,0.0,24.0,56.0,8.0,21.0,6.0,13.0,10.0,23.0,14.0,13.0,6.0,1.0,22.0,21.0,52.0,3.0,12.0,14.0,23.0,13.0,28.0,15.0,12.0,9.0,10.0,17.0
