,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
13863,2006.0,8.0,1393.0,68.0,1126.0,37.0,H,0.0,21.0,44.0,6.0,16.0,20.0,31.0,12.0,31.0,15.0,24.0,13.0,6.0,17.0,15.0,56.0,3.0,13.0,4.0,9.0,12.0,19.0,10.0,23.0,13.0,1.0,24.0
13864,2006.0,9.0,1107.0,90.0,1324.0,73.0,N,0.0,35.0,62.0,13.0,19.0,7.0,8.0,11.0,21.0,21.0,19.0,6.0,3.0,13.0,27.0,62.0,12.0,25.0,7.0,12.0,18.0,16.0,13.0,18.0,11.0,7.0,15.0
13866,2006.0,9.0,1196.0,80.0,1389.0,51.0,H,0.0,29.0,54.0,9.0,21.0,13.0,21.0,9.0,31.0,19.0,11.0,9.0,6.0,14.0,20.0,63.0,8.0,18.0,3.0,8.0,16.0,22.0,10.0,17.0,4.0,0.0,20.0
13867,2006.0,9.0,1393.0,67.0,1165.0,62.0,H,0.0,23.0,57.0,1.0,19.0,20.0,30.0,18.0,26.0,12.0,13.0,13.0,9.0,15.0,19.0,54.0,11.0,23.0,13.0,20.0,14.0,23.0,14.0,19.0,4.0,1.0,22.0
13868,2006.0,10.0,1196.0,83.0,1107.0,64.0,H,0.0,30.0,51.0,10.0,21.0,13.0,24.0,10.0,19.0,23.0,12.0,9.0,2.0,18.0,23.0,47.0,9.0,22.0,9.0,14.0,7.0,18.0,12.0,19.0,6.0,0.0,23.0
13870,2006.0,10.0,1206.0,79.0,1414.0,56.0,N,0.0,31.0,57.0,10.0,20.0,7.0,15.0,9.0,33.0,15.0,14.0,9.0,5.0,23.0,18.0,56.0,2.0,18.0,18.0,25.0,11.0,20.0,7.0,15.0,7.0,1.0,14.0
13879,2006.0,11.0,1448.0,83.0,1206.0,78.0,H,1.0,28.0,47.0,5.0,12.0,22.0,34.0,8.0,32.0,15.0,20.0,4.0,4.0,17.0,29.0,68.0,8.0,28.0,12.0,21.0,13.0,20.0,15.0,11.0,9.0,0.0,25.0
13882,2006.0,12.0,1452.0,88.0,1419.0,69.0,H,0.0,33.0,65.0,10.0,31.0,12.0,17.0,12.0,23.0,21.0,8.0,9.0,1.0,13.0,24.0,53.0,10.0,21.0,11.0,17.0,10.0,24.0,12.0,18.0,5.0,0.0,18.0
13884,2006.0,13.0,1102.0,62.0,1319.0,49.0,N,0.0,23.0,48.0,8.0,17.0,8.0,10.0,3.0,20.0,14.0,12.0,9.0,4.0,17.0,19.0,51.0,2.0,6.0,9.0,11.0,14.0,24.0,7.0,20.0,3.0,3.0,16.0
13887,2006.0,13.0,1246.0,71.0,1355.0,54.0,H,0.0,26.0,67.0,9.0,25.0,10.0,18.0,19.0,26.0,18.0,18.0,9.0,6.0,11.0,24.0,65.0,5.0,18.0,1.0,2.0,14.0,26.0,17.0,22.0,2.0,2.0,18.0
