,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
34074,2010.0,7.0,1143.0,75.0,1293.0,70.0,H,0.0,24.0,52.0,5.0,12.0,22.0,32.0,13.0,19.0,15.0,12.0,8.0,1.0,14.0,26.0,52.0,8.0,21.0,10.0,15.0,11.0,20.0,11.0,17.0,7.0,3.0,24.0
34076,2010.0,7.0,1326.0,100.0,1108.0,60.0,H,0.0,39.0,73.0,14.0,33.0,8.0,12.0,13.0,34.0,29.0,6.0,8.0,6.0,19.0,21.0,61.0,7.0,17.0,11.0,20.0,11.0,24.0,7.0,13.0,4.0,5.0,16.0
34077,2010.0,7.0,1393.0,75.0,1107.0,43.0,H,0.0,29.0,60.0,2.0,17.0,15.0,31.0,14.0,32.0,21.0,21.0,21.0,6.0,16.0,15.0,55.0,5.0,28.0,8.0,14.0,12.0,27.0,10.0,32.0,12.0,4.0,27.0
34078,2010.0,9.0,1143.0,95.0,1178.0,61.0,H,0.0,29.0,61.0,7.0,17.0,30.0,35.0,15.0,30.0,11.0,10.0,5.0,3.0,20.0,20.0,57.0,4.0,18.0,17.0,27.0,14.0,18.0,14.0,15.0,4.0,2.0,21.0
34080,2010.0,9.0,1393.0,100.0,1352.0,60.0,H,0.0,35.0,60.0,13.0,26.0,17.0,25.0,9.0,28.0,26.0,23.0,17.0,14.0,15.0,22.0,62.0,6.0,23.0,10.0,17.0,14.0,22.0,16.0,28.0,15.0,0.0,22.0
34082,2010.0,10.0,1326.0,72.0,1241.0,44.0,H,0.0,30.0,66.0,4.0,17.0,8.0,12.0,12.0,31.0,13.0,9.0,11.0,4.0,14.0,16.0,52.0,4.0,22.0,8.0,12.0,7.0,27.0,6.0,16.0,3.0,1.0,14.0
34088,2010.0,11.0,1124.0,86.0,1313.0,58.0,H,0.0,31.0,57.0,6.0,12.0,18.0,33.0,16.0,27.0,18.0,12.0,8.0,8.0,16.0,20.0,60.0,7.0,17.0,11.0,15.0,15.0,20.0,8.0,17.0,5.0,1.0,28.0
34093,2010.0,11.0,1140.0,70.0,1133.0,60.0,H,0.0,22.0,55.0,7.0,19.0,19.0,27.0,14.0,30.0,11.0,11.0,5.0,3.0,24.0,18.0,50.0,6.0,17.0,18.0,27.0,10.0,22.0,12.0,15.0,5.0,2.0,22.0
34095,2010.0,11.0,1155.0,84.0,1342.0,41.0,H,0.0,30.0,70.0,14.0,30.0,10.0,13.0,19.0,24.0,21.0,11.0,19.0,6.0,11.0,16.0,45.0,5.0,15.0,4.0,7.0,7.0,22.0,9.0,27.0,6.0,3.0,11.0
34097,2010.0,11.0,1160.0,88.0,1115.0,72.0,H,0.0,24.0,43.0,6.0,15.0,34.0,40.0,3.0,22.0,15.0,20.0,9.0,3.0,20.0,29.0,61.0,3.0,15.0,11.0,18.0,14.0,19.0,10.0,21.0,7.0,1.0,28.0
34100,2010.0,11.0,1181.0,96.0,1422.0,62.0,H,0.0,37.0,62.0,7.0,18.0,15.0,20.0,15.0,29.0,16.0,13.0,8.0,8.0,18.0,24.0,60.0,4.0,12.0,10.0,18.0,13.0,13.0,12.0,14.0,5.0,1.0,20.0
34104,2010.0,11.0,1207.0,74.0,1408.0,58.0,A,0.0,28.0,53.0,7.0,17.0,11.0,18.0,12.0,24.0,17.0,15.0,7.0,4.0,18.0,20.0,49.0,4.0,18.0,14.0,21.0,8.0,17.0,12.0,13.0,8.0,4.0,17.0
34113,2010.0,11.0,1242.0,101.0,1220.0,65.0,H,0.0,32.0,63.0,11.0,27.0,26.0,40.0,18.0,31.0,20.0,12.0,10.0,9.0,13.0,26.0,71.0,5.0,21.0,8.0,13.0,17.0,20.0,14.0,17.0,7.0,4.0,26.0
34114,2010.0,11.0,1243.0,92.0,1260.0,54.0,H,0.0,30.0,60.0,5.0,18.0,27.0,39.0,13.0,28.0,22.0,13.0,10.0,8.0,24.0,16.0,65.0,8.0,23.0,14.0,23.0,25.0,26.0,12.0,25.0,3.0,2.0,37.0
34116,2010.0,11.0,1246.0,75.0,1287.0,59.0,H,0.0,26.0,52.0,4.0,19.0,19.0,28.0,15.0,28.0,12.0,24.0,3.0,8.0,14.0,25.0,65.0,4.0,24.0,5.0,12.0,12.0,12.0,11.0,12.0,9.0,2.0,25.0
34118,2010.0,11.0,1259.0,79.0,1436.0,66.0,H,0.0,27.0,60.0,9.0,16.0,16.0,27.0,19.0,24.0,15.0,18.0,7.0,8.0,25.0,19.0,56.0,4.0,14.0,24.0,33.0,15.0,16.0,10.0,16.0,7.0,8.0,20.0
34121,2010.0,11.0,1266.0,85.0,1147.0,62.0,H,0.0,32.0,63.0,3.0,16.0,18.0,26.0,14.0,29.0,20.0,14.0,9.0,5.0,23.0,18.0,53.0,7.0,26.0,19.0,22.0,6.0,20.0,15.0,17.0,7.0,1.0,24.0
34122,2010.0,11.0,1268.0,89.0,1149.0,51.0,H,0.0,38.0,75.0,6.0,17.0,7.0,9.0,14.0,29.0,27.0,12.0,15.0,5.0,17.0,18.0,60.0,7.0,17.0,8.0,17.0,18.0,25.0,8.0,24.0,6.0,3.0,11.0
34125,2010.0,11.0,1277.0,97.0,1195.0,58.0,H,0.0,33.0,71.0,8.0,26.0,23.0,37.0,22.0,32.0,21.0,13.0,7.0,3.0,21.0,21.0,57.0,4.0,20.0,12.0,25.0,10.0,24.0,12.0,17.0,8.0,0.0,29.0
34126,2010.0,11.0,1278.0,87.0,1399.0,50.0,H,0.0,34.0,63.0,9.0,25.0,10.0,20.0,15.0,24.0,25.0,16.0,15.0,15.0,19.0,15.0,53.0,5.0,15.0,15.0,18.0,15.0,20.0,12.0,27.0,7.0,0.0,21.0
34129,2010.0,11.0,1285.0,61.0,1315.0,37.0,H,0.0,21.0,48.0,11.0,24.0,8.0,13.0,7.0,26.0,11.0,12.0,8.0,3.0,15.0,14.0,43.0,6.0,18.0,3.0,8.0,7.0,22.0,6.0,18.0,6.0,0.0,16.0
34130,2010.0,11.0,1288.0,69.0,1107.0,65.0,A,0.0,26.0,68.0,3.0,16.0,14.0,20.0,19.0,20.0,13.0,11.0,11.0,6.0,19.0,24.0,53.0,6.0,15.0,11.0,16.0,12.0,28.0,13.0,20.0,4.0,6.0,19.0
34132,2010.0,11.0,1320.0,71.0,1176.0,65.0,A,0.0,21.0,44.0,7.0,17.0,22.0,33.0,10.0,24.0,6.0,13.0,4.0,2.0,19.0,23.0,46.0,11.0,22.0,8.0,13.0,4.0,20.0,15.0,10.0,5.0,3.0,26.0
34137,2010.0,11.0,1338.0,63.0,1459.0,60.0,H,0.0,24.0,51.0,4.0,15.0,11.0,19.0,10.0,20.0,14.0,9.0,5.0,6.0,12.0,22.0,52.0,7.0,19.0,9.0,9.0,9.0,21.0,16.0,10.0,2.0,2.0,18.0
34139,2010.0,11.0,1345.0,89.0,1169.0,64.0,H,0.0,30.0,66.0,9.0,24.0,20.0,30.0,11.0,27.0,24.0,14.0,8.0,6.0,31.0,19.0,49.0,3.0,14.0,23.0,43.0,13.0,29.0,9.0,25.0,5.0,2.0,25.0
34143,2010.0,11.0,1350.0,65.0,1250.0,53.0,H,0.0,22.0,57.0,2.0,16.0,19.0,25.0,8.0,28.0,11.0,13.0,14.0,7.0,17.0,18.0,53.0,7.0,17.0,10.0,13.0,10.0,30.0,13.0,26.0,4.0,4.0,27.0
34151,2010.0,11.0,1373.0,85.0,1398.0,69.0,A,0.0,30.0,46.0,5.0,9.0,20.0,30.0,10.0,25.0,16.0,29.0,15.0,2.0,18.0,25.0,60.0,8.0,26.0,11.0,18.0,11.0,13.0,14.0,21.0,12.0,2.0,20.0
34159,2010.0,11.0,1388.0,100.0,1308.0,68.0,H,0.0,34.0,65.0,12.0,26.0,20.0,24.0,13.0,31.0,24.0,13.0,7.0,4.0,24.0,24.0,61.0,3.0,17.0,17.0,29.0,12.0,21.0,6.0,15.0,3.0,3.0,21.0
34162,2010.0,11.0,1397.0,83.0,1122.0,54.0,H,0.0,34.0,69.0,10.0,23.0,5.0,11.0,13.0,33.0,22.0,14.0,8.0,7.0,17.0,19.0,55.0,5.0,17.0,11.0,16.0,7.0,26.0,11.0,19.0,2.0,4.0,16.0
34167,2010.0,11.0,1429.0,66.0,1451.0,60.0,A,0.0,21.0,44.0,4.0,12.0,20.0,23.0,5.0,30.0,5.0,17.0,3.0,2.0,22.0,21.0,63.0,2.0,20.0,16.0,19.0,14.0,21.0,8.0,11.0,7.0,3.0,23.0
34169,2010.0,11.0,1431.0,89.0,1411.0,70.0,H,0.0,31.0,63.0,7.0,18.0,20.0,33.0,16.0,24.0,17.0,12.0,7.0,6.0,17.0,25.0,57.0,7.0,12.0,13.0,20.0,12.0,23.0,9.0,19.0,10.0,1.0,26.0
34171,2010.0,11.0,1437.0,84.0,1192.0,61.0,H,0.0,27.0,66.0,9.0,26.0,21.0,31.0,17.0,29.0,16.0,8.0,4.0,5.0,22.0,19.0,48.0,3.0,14.0,20.0,32.0,6.0,29.0,7.0,15.0,4.0,6.0,20.0
34174,2010.0,11.0,1448.0,76.0,1331.0,56.0,H,0.0,29.0,60.0,5.0,17.0,13.0,22.0,20.0,31.0,14.0,18.0,8.0,2.0,14.0,24.0,62.0,4.0,22.0,4.0,11.0,10.0,15.0,12.0,13.0,8.0,1.0,19.0
34175,2010.0,11.0,1449.0,74.0,1460.0,69.0,H,0.0,22.0,52.0,3.0,15.0,27.0,35.0,12.0,17.0,11.0,12.0,11.0,2.0,19.0,25.0,51.0,4.0,16.0,15.0,21.0,11.0,18.0,12.0,19.0,3.0,2.0,27.0
34177,2010.0,11.0,1462.0,83.0,1464.0,57.0,H,0.0,23.0,45.0,7.0,17.0,30.0,37.0,7.0,32.0,13.0,16.0,4.0,5.0,22.0,21.0,64.0,1.0,13.0,14.0,22.0,13.0,18.0,13.0,10.0,7.0,1.0,23.0
34178,2010.0,12.0,1139.0,73.0,1172.0,62.0,H,0.0,22.0,53.0,9.0,24.0,20.0,25.0,7.0,20.0,13.0,10.0,9.0,4.0,16.0,24.0,51.0,6.0,17.0,8.0,9.0,5.0,26.0,17.0,16.0,2.0,1.0,22.0
34180,2010.0,12.0,1165.0,71.0,1104.0,67.0,A,0.0,24.0,48.0,10.0,18.0,13.0,19.0,8.0,19.0,14.0,14.0,4.0,4.0,18.0,24.0,52.0,4.0,11.0,15.0,22.0,13.0,20.0,9.0,13.0,7.0,3.0,17.0
34184,2010.0,12.0,1185.0,81.0,1324.0,77.0,A,0.0,28.0,62.0,6.0,15.0,19.0,29.0,11.0,32.0,10.0,9.0,5.0,2.0,18.0,32.0,77.0,4.0,22.0,9.0,20.0,19.0,28.0,19.0,7.0,4.0,10.0,19.0
34186,2010.0,12.0,1190.0,62.0,1111.0,58.0,H,0.0,22.0,54.0,3.0,15.0,15.0,27.0,13.0,21.0,8.0,20.0,8.0,2.0,22.0,18.0,44.0,4.0,18.0,18.0,23.0,9.0,27.0,6.0,25.0,10.0,4.0,19.0
34187,2010.0,12.0,1210.0,100.0,1197.0,59.0,H,0.0,39.0,81.0,8.0,20.0,14.0,20.0,20.0,35.0,19.0,18.0,17.0,3.0,20.0,21.0,58.0,5.0,20.0,12.0,22.0,8.0,24.0,12.0,25.0,9.0,2.0,18.0
34188,2010.0,12.0,1211.0,92.0,1290.0,74.0,H,0.0,30.0,54.0,7.0,20.0,25.0,38.0,11.0,32.0,16.0,17.0,6.0,5.0,19.0,26.0,62.0,11.0,26.0,11.0,18.0,8.0,20.0,14.0,15.0,9.0,1.0,28.0
