,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
646,2013,134,1299,73,1251,72,N,0,27,52,8,18,11,19,6,27,10,8,6,4,19,23,54,10,23,16,18,6,24,15,10,4,3,17
647,2013,134,1388,67,1292,54,N,0,21,46,8,14,17,25,8,25,9,7,3,0,15,22,52,4,12,6,7,6,22,14,9,4,3,20
648,2013,135,1241,68,1254,55,N,0,26,56,8,23,8,12,14,25,17,11,3,10,16,21,59,3,16,10,14,16,19,11,11,7,1,12
649,2013,135,1247,80,1129,71,N,0,31,49,11,21,7,12,3,19,16,10,4,1,16,26,53,7,18,12,18,11,18,14,10,3,1,13
650,2013,136,1112,81,1125,64,N,0,29,51,9,17,14,20,12,32,13,16,2,5,21,20,51,8,27,16,23,4,14,7,8,7,0,20
651,2013,136,1139,68,1137,56,N,0,20,55,3,17,25,28,10,31,8,5,6,3,12,23,62,5,16,5,8,9,28,13,9,0,4,20
652,2013,136,1143,64,1424,61,N,0,26,59,5,11,7,16,8,33,18,11,7,5,19,19,59,6,20,17,26,12,30,11,12,3,6,20
653,2013,136,1161,84,1281,72,N,0,25,51,7,14,27,33,12,30,10,14,1,3,17,24,57,7,23,17,19,3,16,13,5,6,3,24
654,2013,136,1211,64,1380,58,N,0,23,55,8,20,10,15,11,29,14,10,6,0,16,18,46,10,23,12,18,3,24,10,10,4,8,12
655,2013,136,1217,68,1307,62,N,0,22,42,8,18,16,20,3,23,11,13,3,3,20,21,56,3,14,17,24,16,18,8,11,12,1,17
656,2013,136,1257,79,1299,48,N,0,31,54,4,16,13,22,12,19,14,16,20,2,13,17,41,6,16,8,10,5,15,7,27,8,0,18
657,2013,136,1266,59,1172,58,N,0,20,58,4,15,15,19,17,24,5,9,5,4,20,19,46,6,17,14,22,7,22,12,11,2,4,17
658,2013,136,1272,54,1388,52,N,0,20,49,5,15,9,18,10,25,12,15,9,12,18,19,58,3,15,11,14,15,24,9,13,4,0,19
659,2013,136,1276,71,1355,56,N,0,28,55,9,20,6,9,8,21,12,9,6,3,8,23,52,4,19,6,8,8,21,13,12,3,0,10
660,2013,136,1277,65,1434,54,N,0,26,58,6,15,7,11,20,29,16,17,6,3,16,19,54,7,25,9,14,8,15,10,7,12,5,12
661,2013,136,1332,68,1329,55,N,0,23,59,8,22,14,21,14,30,12,18,8,3,19,21,52,5,17,8,15,6,26,12,14,8,3,23
662,2013,136,1387,64,1308,44,N,0,25,54,4,11,10,14,10,23,17,10,10,3,15,17,61,2,16,8,13,21,21,10,16,9,7,12
663,2013,136,1393,81,1285,34,N,0,27,52,5,11,22,31,8,32,21,8,12,5,8,11,54,4,31,8,12,11,22,5,17,5,6,22
664,2013,136,1433,88,1103,42,N,0,35,65,8,16,10,14,13,23,15,7,11,0,17,15,43,1,13,11,19,9,20,5,22,2,6,12
665,2013,136,1455,73,1338,55,N,0,19,49,2,20,33,41,11,26,11,11,10,1,20,19,54,1,17,16,20,11,21,8,15,5,5,27
666,2013,137,1166,67,1153,63,N,0,19,42,7,15,22,25,7,25,16,16,2,2,11,27,64,5,20,4,9,14,17,12,9,9,4,21
667,2013,137,1181,73,1107,61,N,0,27,46,4,11,15,21,5,23,17,11,9,3,18,19,52,9,15,14,16,10,16,14,13,7,2,19
668,2013,137,1195,78,1207,68,N,0,21,49,6,15,30,44,7,32,15,13,5,3,18,24,64,7,27,13,20,11,28,15,14,6,4,33
669,2013,137,1196,79,1322,47,N,0,29,61,7,21,14,23,16,27,13,8,10,2,12,18,50,3,16,8,11,6,20,9,15,2,3,19
670,2013,137,1228,57,1160,49,N,0,16,52,8,31,17,24,11,26,10,12,8,4,12,17,51,5,19,10,13,8,28,7,15,5,5,20
671,2013,137,1231,83,1241,62,N,0,29,55,9,23,16,21,12,26,17,9,3,3,8,26,62,8,20,2,4,11,17,7,10,1,3,21
672,2013,137,1235,76,1323,58,N,0,29,59,9,21,9,12,5,22,19,6,4,1,13,22,51,4,17,10,13,9,26,9,17,2,2,11
673,2013,137,1242,64,1443,57,N,0,20,42,0,6,24,30,4,31,11,17,4,9,15,21,66,3,20,12,18,18,23,8,10,9,0,24
674,2013,137,1247,63,1243,61,N,0,21,49,7,18,14,16,8,22,12,8,4,5,13,24,57,4,13,9,17,15,21,12,9,6,7,14
675,2013,137,1274,78,1334,49,N,0,24,52,12,22,18,21,10,31,12,11,7,4,14,18,54,9,26,4,11,10,18,9,14,2,1,16
676,2013,137,1278,83,1417,63,N,0,31,61,9,16,12,19,11,25,19,11,7,3,19,20,63,4,22,19,25,19,23,10,15,5,2,19
677,2013,137,1279,57,1458,46,N,0,22,57,3,15,10,16,12,31,8,10,6,6,12,15,59,7,30,9,13,15,25,10,11,7,7,16
678,2013,137,1314,78,1437,71,N,0,24,49,11,21,19,27,6,22,18,17,10,2,14,27,61,4,21,13,19,15,22,6,16,9,2,22
679,2013,137,1326,95,1233,70,N,0,34,71,7,15,20,25,13,31,25,10,8,7,17,23,65,6,28,18,21,14,26,13,19,4,2,18
680,2013,137,1361,70,1328,55,N,0,24,56,6,15,16,17,11,29,15,11,5,3,11,23,58,5,21,4,8,8,21,10,9,6,2,20
681,2013,137,1396,76,1301,72,N,0,24,50,7,18,21,33,4,20,13,5,5,4,15,29,52,4,13,10,16,7,27,14,13,3,2,24
682,2013,138,1112,74,1217,51,N,0,27,49,9,15,11,16,3,36,13,12,4,2,20,16,58,5,18,14,19,11,22,12,8,7,1,14
683,2013,138,1257,82,1161,56,N,0,31,55,5,9,15,18,10,19,14,9,11,2,24,19,40,5,12,13,21,7,17,4,20,0,4,19
684,2013,138,1266,74,1139,72,N,0,23,54,5,12,23,27,14,21,9,15,9,4,17,24,56,11,24,13,19,12,21,13,15,7,8,20
685,2013,138,1276,78,1433,53,N,0,31,60,6,20,10,11,12,29,17,12,7,0,7,23,58,3,16,4,6,7,17,6,11,9,2,14
686,2013,138,1277,70,1272,48,N,0,26,52,4,16,14,22,14,35,14,18,10,7,14,19,64,5,23,5,10,11,18,8,11,7,5,18
687,2013,138,1332,74,1387,57,N,0,28,53,8,11,10,16,9,29,18,18,10,4,19,20,53,3,21,14,22,6,21,11,12,10,2,15
688,2013,138,1393,66,1143,60,N,0,18,46,4,10,26,41,14,23,7,15,10,3,16,22,56,4,21,12,19,13,21,14,17,6,2,24
689,2013,138,1455,76,1211,70,N,0,25,50,14,28,12,18,10,20,16,15,8,6,22,21,59,8,23,20,29,21,18,13,13,8,2,17
690,2013,139,1181,66,1166,50,N,0,19,49,7,20,21,28,7,31,9,9,7,4,20,16,53,2,19,16,18,7,26,9,10,2,2,26
691,2013,139,1195,81,1361,71,N,0,33,59,7,18,8,12,9,22,21,13,13,5,13,27,61,8,23,9,13,14,20,16,17,10,6,11
692,2013,139,1196,78,1278,64,N,0,21,37,10,20,26,36,6,20,13,14,7,3,18,20,50,8,18,16,22,13,16,11,14,4,1,25
693,2013,139,1231,58,1396,52,N,0,19,45,4,13,16,20,4,28,9,12,0,2,8,21,62,3,24,7,8,14,21,8,10,5,4,18
694,2013,139,1242,70,1314,58,N,0,24,55,5,14,17,21,15,35,11,22,7,5,11,22,73,6,21,8,10,16,20,10,11,15,1,20
695,2013,139,1247,76,1279,74,N,0,27,55,9,23,13,18,9,21,14,12,8,4,19,30,63,4,19,10,21,18,22,14,13,5,4,18
696,2013,139,1274,63,1228,59,N,0,22,55,9,25,10,15,13,22,12,6,4,2,10,23,61,7,27,6,7,16,22,7,8,2,3,17
697,2013,139,1326,78,1235,75,N,0,25,49,9,18,19,26,3,19,12,9,7,2,20,23,52,12,25,17,23,12,24,14,16,4,0,20
698,2013,143,1266,71,1274,61,N,0,27,50,3,6,14,19,10,26,14,11,3,3,11,22,63,8,26,9,12,15,16,12,8,3,3,15
699,2013,143,1326,73,1112,70,N,0,22,52,7,13,22,26,11,21,9,8,4,3,18,23,52,6,18,18,20,9,21,7,11,6,2,20
700,2013,143,1393,61,1231,50,N,0,21,48,4,10,15,20,7,25,4,14,11,11,17,16,47,3,15,15,24,11,23,8,18,6,2,18
701,2013,143,1455,72,1247,58,N,0,30,67,5,12,7,9,17,30,12,8,4,8,13,20,56,7,18,11,16,9,20,8,9,5,2,13
702,2013,144,1181,71,1277,61,N,0,20,49,7,18,24,26,5,24,8,8,3,5,17,20,50,3,12,18,24,8,25,6,11,6,4,24
703,2013,144,1196,62,1195,50,N,0,22,57,4,15,14,23,15,20,12,10,11,3,11,20,44,4,11,6,11,6,22,11,20,7,3,20
704,2013,144,1257,77,1332,69,N,0,28,52,4,13,17,26,9,25,10,13,7,5,19,27,61,5,14,10,17,12,23,12,12,7,3,22
705,2013,144,1276,87,1242,85,N,1,35,71,8,23,9,17,14,24,18,10,7,1,12,36,66,6,16,7,10,7,28,21,13,5,8,17
706,2013,145,1393,55,1266,39,N,0,19,50,5,17,12,19,11,26,8,6,9,8,11,12,53,3,25,12,16,19,25,10,13,5,6,16
707,2013,145,1455,70,1326,66,N,0,22,59,8,20,18,23,13,27,9,12,8,9,23,19,61,5,25,23,29,11,26,7,9,5,8,22
708,2013,146,1257,85,1181,63,N,0,29,55,2,13,25,36,11,26,8,8,10,9,23,19,52,4,16,21,28,11,20,11,12,4,2,23
709,2013,146,1276,79,1196,59,N,0,30,65,10,19,9,13,9,26,18,11,13,5,13,23,56,2,10,11,17,9,27,13,15,7,3,11
710,2013,152,1257,72,1455,68,N,0,22,49,9,25,19,29,11,22,10,9,8,3,23,22,54,6,20,18,24,14,22,13,11,5,1,20
711,2013,152,1276,61,1393,56,N,0,21,53,8,24,11,20,13,24,17,10,5,3,11,23,55,3,14,7,11,10,23,13,10,7,4,19
712,2013,154,1257,82,1276,76,N,0,28,61,8,16,18,23,15,17,18,9,9,3,22,25,48,8,18,18,25,8,19,12,12,3,2,15
